LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.3294179,42.9587147,0284,PINGREE HILL ROAD,,DERRY,,NH,03038,000002000007000000,3394a98717eb7aeb
-71.3293541,42.9578991,0318,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000007000002,8da8e67e10a66afb
-71.3307563,42.9576491,0016,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000007000001,b4764e02965ee379
-71.3223464,42.9545503,0019,SILVER HILL ROAD,,AUBURN,,NH,03032,000002000018000004,0b7616441f396637
-71.3199693,42.9542028,,SILVER HILL ROAD,,MANCHESTER,,NH,03102,000002000019000000,5a381fa6ec8c1235
-71.3203919,42.9527512,0429,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000029000000,748a8a023754f781
-71.3126219,42.9460465,,PINGREE HILL ROAD,,CHESTER,,NH,03036,000002000037000000,211afa199e40f39e
-71.3139133,42.9459397,0551,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000037000002,50c894b8747e72a4
-71.3143728,42.9466673,0537,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000037000001,a9ea6144d092e84e
-71.3445761,42.9510488,0489,WILSON'S CROSSING RD,,AUBURN,,NH,03032,000002000003000001,a3bc9ca16cb04a62
-71.3453987,42.9503736,0501,WILSON'S CROSSING RD,,AUBURN,,NH,03032,000002000003000002,3f53a08a73ce03c6
-71.3462415,42.9495031,0513,WILSON'S CROSSING RD,,ANNAPOLIS,,MD,21403,000002000003000003,714a908b018169dc
-71.3439572,42.9519395,0008,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000004000001,7eed8cedcdd70033
-71.3430016,42.9529645,0009,WINDSOR DRIVE,,MANCHESTER,,NH,03109,000002000004000002,7ebf0ba379461907
-71.343385,42.9534582,0455,WILSON'S CROSSING RD,,LONDONDERRY,,NH,03053,000002000004000003,a9a74bba3a42ef21
-71.3428104,42.954269,0449,WILSON'S CROSSING RD,,DERRY,,NH,03038,000002000004000004,bb22fa5efe1feefa
-71.3422724,42.9552311,0437,WILSON'S CROSSING RD,,MANCHESTER,,NH,03104,000002000004000005,fdb127357c9d6e4b
-71.3428289,42.9563414,0415,WILSON'S CROSSING RD,,WESTMINSTER,,MA,01473,000002000004000006,d0944233bed6aa96
-71.3425153,42.951535,0030,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000014,88045a2d7cbccb90
-71.3422282,42.9511273,0040,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000016,c8aa01c46c90601b
-71.3419675,42.9507475,0048,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000018,7e45c6b0541a4a66
-71.3409499,42.9517021,0008,WESTMINSTER LANE,,AUBURN,,NH,03032,000002000003000013,ef14bc0f77ea77e4
-71.341602,42.9521832,0007,WESTMINSTER LANE,,AUBURN,,NH,03032,000002000003000005,dcdf1ca27802ed70
-71.340377,42.9533186,0025,WESTMINSTER LANE,,AUBURN,,NH,03032,000002000003000006,455aeb059511a3d7
-71.3402798,42.9537885,0050,WESTMINSTER LANE,,AUBURN,,NH,03032,000002000003000007,b918e722b143f62a
-71.3397287,42.9542068,0046,WESTMINSTER LANE,,AUBURN,,NH,03032,000002000003000008,603f349b46681712
-71.339089,42.9541213,0044,WESTMINSTER LANE,,AUBURN,,NH,03032,000002000003000009,d5f3603eba270d35
-71.3384747,42.9535322,0042,WESTMINSTER LANE,,AUBURN,,NH,03032,000002000003000010,a94e40441cbb7501
-71.3387133,42.9531259,0038,WESTMINSTER LANE,,AUBURN,,NH,03032,000002000003000011,ab397a21f2cdcb43
-71.3392108,42.9528774,0030,WESTMINSTER LANE,,AUBURN,,NH,03032,000002000003000012,fe7b3e75887c3445
-71.3416438,42.9503211,0058,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000020,3cd738e0748c8624
-71.3407632,42.9512534,0043,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000015,f5afca7d8d0db3a0
-71.3405272,42.9508689,0053,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000017,e70d1b560293b76d
-71.3402269,42.9504631,0061,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000019,828983773a7dd621
-71.3399837,42.9500726,0065,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000021,80b0f8369a349095
-71.3401244,42.9495423,0071,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000022,61a33e5c7bb029ca
-71.3317732,42.9566156,,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000007000003,825204974e225ff1
-71.3266746,42.9545677,0364,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000008000001,99f0aedd8cdc598c
-71.3355875,42.9399857,,DERRY TOWN LINE,,DERRY,,NH,03038,000002000009000001,de1973750ea27da2
-71.320101,42.9500652,0478,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000030000000,a59487f139b901aa
-71.3101642,42.9397977,0659,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000046000000,1bfa190bf661178b
-71.3101079,42.9392338,,PINGREE HILL ROAD,,HARTFORD,,CT,06141,000002000047000001,8901acf9d50965e6
-71.3089123,42.9432231,,CHESTER TOWN LINE,,DERRY,,NH,03038,000002000049000000,5cfdbe4cc192e125
-71.3081526,42.9458353,OFF,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000050000000,50983b5c94de310b
-71.3430888,42.9479942,0104,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000055,b1402c5eba15d1a1
-71.3434534,42.9473029,0116,WINDSOR DRIVE,,AUBURN,,NH,03032,000002000003000054,a47878169257617e
-71.3440491,42.9481432,0020,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000052,91cb905bbc764cd5
-71.3444178,42.9485319,0026,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000051,50c8331f9f21e01b
-71.3451114,42.9487283,0030,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000050,b5832b71924153a9
-71.3457713,42.9485145,0032,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000049,1bdc2269fffb779b
-71.3460107,42.9480233,0034,WESTFORD DRIVE,,AUBURN,,NH,03032,000002000003000048,a1404081cc89fa2b
